"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"256","Barbora","Lõhesalat Prantsuse MARINE ABC, EO 240g",1.65,6.88
"257","Barbora"," Kuiv kassitoit ONE Steril lõhega 1,5kg",7.99,5.33
"258","Barbora","Roh. ol. täid. lõhega WELL DONE 235g",2.29,9.74
"259","Barbora","Viil. vähesoolane lõhefilee, kg-lett",27.99,27.99
"260","Barbora","Lõhefilee vürtsikas kastmes KAIJA, 170g",2.99,17.59
"261","Barbora","Lõhefilee inglise sinepikast.KAIJA,170g",3.19,18.76
"262","Barbora","Kuivatatud lõhefilee viilud ZIGMAS, 80g",1.89,23.63
"263","Barbora","Soolatud Atlandi lõhefilee OCEAN, 100g",3.55,35.5
"264","Barbora","Külmsuitsu Atlandi lõhefilee OCEAN,100g",2.79,27.9
"265","Barbora","Lõhefilee õlis WELL DONE, 170g",2.39,14.06
"266","Barbora","Lõhefilee tomatikastmes WELL DONE 170g",2.39,14.06
"267","Barbora"," Külmsuits.Atlandi lõhefilee NORVEN 100g",2.79,27.9
"268","Barbora","Viil.vähesool.lõhefilee tilliga, kg-lett",27.99,27.99
"269","Barbora","Külmsuit.lõhefilee viilud WELL DONE,100g",3.19,31.9
"270","Barbora","Lõhefilee oma mahlas WELL DONE, 170g",2.09,12.29
"271","Barbora","Marin.lõhefilee viil.sidr.&pip.WD, 100g",3.99,39.9
"272","Barbora","Meerõngad LOTTE 225g",1.59,7.07
"273","Barbora"," Maisipulgad LOTTE 130g",0.99,7.61
"274","Barbora","Nori lehed FUDO 28g",3.09,110.36
"275","Barbora","Hambahari-taimer LOTTE punane",5.59,NA
"276","Barbora","Hambahari-taimer LOTTE sinine",4.89,NA
"277","Barbora","M.sokid SUVA Kanepi lehed 41-44s",3.89,NA
"278","Barbora"," Dušivaht BILOU Lily Love 200ml",6.79,NA
"279","Barbora","Kaardimäng TACTIC Lotte memo",10.99,NA
"280","Barbora","Gladioolid My Love,5tk",3.19,NA
"281","Barbora","Puuvil.teraviljarõng. Rõõmsud LOTTE 225g",1.59,7.07
"282","Barbora","Krõbedad kakaopallid Krõmsud LOTTE 225g",2.15,9.56
"283","Barbora","Rohel.tee LOYD vaarikamaitseline 20x1.5g",1.69,56.33
"284","Barbora"," Maisikep.kond.piim. LOTTE 130g",1.19,9.15
"285","Barbora","Rohel.oliivid kornišonitäid. WD 340g",2.99,8.79
"286","Barbora"," Koerasööt MY LOVE kalkun 4x100g",1.39,3.48
"287","Barbora"," Kassisööt MY LOVE kanalih.4x85g",1.09,3.21
"288","Barbora"," Koerasööt MY LOVE veiseliha 4x100g",1.39,3.48
"289","Barbora"," Kassisööt MY LOVE veiseliha 4x85g",1.09,3.21
"290","Barbora","Moon Falling In Love",1.99,NA
"291","Barbora"," Kassisööt MY LOVE kala 85g",0.29,3.41
"292","Barbora"," Kassisööt MY LOVE küülik 85g",0.29,3.41
"293","Barbora"," Kassisööt MY LOVE kalkun 85g",0.29,3.41
"294","Barbora","Rohel tee Jasmine Green BASILUR 100g",5.59,55.9
"295","Barbora"," Kassisööt MY LOVE maksaga kast.85g",0.29,3.41
"296","Barbora","Šok.lehed Classic AfterEight NESTLE 400g",6.99,17.48
"297","Barbora","Rohel. kivideta oliivid EXTRA LINE 900g",2.85,3.17
"298","Barbora","Šok.lehed piparmün.AfterEight NESTLE200g",3.59,17.95
"299","Barbora","Šampoon NS Loves Estonia taastav 400ml",7.19,NA
"300","Barbora","Palsam NS Loves Estonia taastav 400ml",6.99,NA
"301","Barbora","Dušigeel NS Loves Estonia värsk. 400ml",5.69,NA
"302","Barbora","Rohel. kivideta oliivid WELL DONE,280g",1.79,6.39
"303","Barbora","Rohel. kivideta oliivid EXTRA LINE,280g",1.19,4.25
"304","Barbora"," Rohel. kivideta oliivid XL WD 340g",1.89,5.56
"305","Barbora"," Kassi kuivtoit MY LOVE kana 300g",0.89,2.97
"306","Barbora","Rohel.tee Tie Guan Yin BASILUR 100g",5.59,55.9
"307","Barbora"," L-Karnitiin+CLA+ Rohel.Tee ICONFIT 90tk",9.39,NA
"308","Barbora","Karp šok.kompv.pähkl. I Love MILKA 110g",2.49,22.64
"309","Barbora","Jäätis SUPER VIVA Vegan rohel.smuuti,97g",1.99,20.52
"310","Barbora","Lauamäng TACTIC Loe mu mõtteid",26.99,NA
"311","Barbora"," Rohel.tee The Island of Tea BASILUR 100g",2.99,29.9
"312","Barbora","Raamat Armsad loomalapsed. Loe ja kuula!",12.89,NA
"313","Bolt Market Soola","Felix, kiisueine Fantastic lõhe, 85g",0.72,8.47
"314","Bolt Market Soola","Hau Hau Champion, GrainFree täistoit lõhe-heeringa, 1,5kg",11.89,7.93
"315","Bolt Market Soola","Flint, punase lõhemarja maitselised kuivikud, 35g",0.59,16.86
"316","Bolt Market Soola","M.V.Wool, soolalõhe viilutatud, 100g",4.39,43.9
"317","Bolt Market Soola","Japanese Choice, sushi nori lehed, 14g",2.89,206.43
"318","Bolt Market Soola","Smile, küpsetuspaberi lehed karbis 38x42cm, 24tk",2.49,NA
"319","Bolt Market Soola","Dr. Beckmann, pesuvahendi lehed Magic Leaves Universal, 25tk",10.35,NA
"320","Bolt Market Soola","Dr. Beckmann, üldpuhastusvahendi lehed Magic Leaves Summer Lemon, 20tk",5.49,NA
"321","Bolt Market Soola","Dr. Beckmann, pesuvahendi lehed Magic Leaves Sensitive Cotton Fresh, 25tk",8.99,NA
"322","Wolt Market Karlova","Soolalõhe viilutatud M.V.Wool 100g",4.39,43.9
"323","Wolt Market Karlova","Külmsuitsulõhe viilutatud M.V.Wool 100g",4.39,43.9
"324","Wolt Market Karlova","Vici soolalõhefilee tükk 160g",5.89,36.81
"325","Wolt Market Karlova","Vici Smart Choice külmsuitsu lõhefilee 100g",4.29,42.9
"326","Wolt Market Karlova","Food On Foot kolmnurkvõileib lõhe ja munaga, 165g",2.99,18.12
"327","Wolt Market Karlova","PrimaDog lõhe eine 260g",2.89,11.12
"328","Wolt Market Karlova","Athena mahlased närimispulgad lõhe ja forelliga ( lihasisaldus 83%) 50g",1.59,31.8
"329","Wolt Market Karlova","Purina One Bifensis Dual Defence kuiv kassitoit lõhe-täisteranisu 800g",7.69,9.61
"330","Wolt Market Karlova","Piper kuivtoit steriliseeritud kassile lõhega, 3kg",20.99,7
"331","Wolt Market Karlova","Purina One kiisueine steriliseeritud kassidele lõhe-porgand 4 x 85g",3.99,11.74
"332","Wolt Market Karlova","Sheba pasteet lõhega 85g",0.99,11.65
"333","Wolt Market Karlova","Gourmet Gold kiisueine lõhe-kana kastmes 85g",0.99,11.65
"334","Wolt Market Karlova","Piper märgtoit kassile lõhega, 100g",1.49,14.9
